gene.name,SGDID,GeneSymbol,GeneLength,BiologicalProcess,MolecularFunction,CellularComponent,essentiality,Degree40,Closeness40,Cluster.coeff40,color40,Degree50,Closeness50,Cluster.coeff50,color50,Degree65,Closeness65,Cluster.coeff65,color65,Degree70,Closeness70,Cluster.coeff70,Degree85,Closeness85,Cluster.coeff85,color85,Degree90,Closeness90,Cluster.coeff90,color90,Betweenness85,cln3.1,clb2.1,alpha0,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha98,alpha105,alpha112,alpha119,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_120,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390
YKL001C,S000001484,MET14,609,methionine metabolism,adenylyl-sulfate kinase activity,cell,0,414,0.5098814,0.09941397,black,114,0.3903749,0.092221705,yellow,22,0.2497587,0.116883117,grey,12,0.1949957,0.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,-0.2,0.01,0.17,-0.14,-0.04,0.3,1.17,0.66,0.27,-0.36,0.19,-0.26,-0.09,0.07,-0.58,0.07,-0.34,-0.95,-1.01,-0.41,0.76,1.04,0.79,0.17,-0.59,-0.95,-0.06,0.32,NA,-0.08,0.56,-0.18,-0.04,0.15,-0.06,-0.04,-0.31,0.13,0.15,-0.26,0.23,-0.2,-0.06
YKL004W,S000001487,AUR1,1206,sphingolipid metabolism,inositol phosphoceramide synthase activity,Golgi apparatus,1,1812,0.5633981,0.10842619,turquoise,946,0.4975737,0.099846751,turquoise,172,0.327368,0.088263294,grey,58,0.2726682,0.09134906,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51,0.1,-0.1,-0.67,-0.82,0.03,-0.08,0.92,-0.01,0.54,-0.01,0.07,-0.33,0.23,0.35,0.15,0.6,0.41,-0.7,-0.06,0.02,0.13,0.34,0.09,0.2,-0.04,0.15,0.09,-0.35,0.01,-1.05,-0.33,-0.38,-0.05,0.17,0.31,0.22,0.06,0.25,0.43,0.23,0.23,-0.31,0.22
YKL006W,S000001489,RPL14A,815,protein biosynthesis,structural constituent of ribosome,cytosolic large ribosomal subunit (sensu Eukarya),0,1416,0.5475082,0.13026492,turquoise,720,0.4681573,0.122608561,turquoise,196,0.3121337,0.105494505,brown,86,0.2663645,0.11682627,2,0.24025974,0,grey,NA,NA,NA,NA,0.00E+00,-0.86,0.14,0.17,-0.09,-0.09,0.13,0.29,0.03,-0.15,-0.08,-0.04,0.19,-0.37,0.01,0.45,-0.16,0.49,-0.39,-0.35,-0.14,0.22,-0.18,0.24,-0.55,-0.56,0.09,-0.13,NA,-0.12,-0.24,-1.2,-0.23,-0.02,0.25,0.57,0.45,0.39,0.62,0.06,-0.1,-0.26,0,-0.34,-0.19
YKL008C,S000001491,LAC1,1257,ceramide biosynthesis,sphingosine N-acyltransferase activity,endoplasmic reticulum,0,570,0.5172681,0.10682946,black,190,0.414705,0.123586745,yellow,8,0.257153,0.071428571,grey,2,0.1932132,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,-0.36,-0.3,-0.25,-0.34,NA,0.6,0.6,-0.13,-0.25,-0.54,-0.19,0.06,0.6,0.63,0.2,0.24,-0.68,-0.87,-0.09,0.37,0.33,0.31,0.21,0.24,-0.47,0.12,-0.46,-0.53,0.61,-0.1,0.12,-0.14,-0.48,-0.27,-0.23,-0.08,0.3,0.24,0.1,-0.03,0.33,0.37,-0.14
YKL009W,S000001492,MRT4,711,rRNA processing,NA,nucleus,0,1680,0.5581298,0.13015117,turquoise,1034,0.4891145,0.123914684,turquoise,430,0.3322631,0.109025858,brown,252,0.2808527,0.11186998,14,0.19730185,0.0989011,grey,NA,NA,NA,NA,4.92E+02,-0.62,0.08,0.42,-0.69,-0.47,0.13,NA,0.46,-0.07,0.35,0.21,0.01,-0.15,0.45,0.11,-0.03,0.42,0.06,-0.46,-0.27,0.29,-0.07,0.15,-0.3,-0.08,-0.19,-0.22,0.67,-0.23,-0.31,-0.93,-0.13,-0.3,0.53,1.01,0.5,0.3,-0.13,-0.03,0.49,0.12,-0.58,-0.67,-0.19
YKL011C,S000001494,CCE1,1062,DNA recombination,endodeoxyribonuclease activity,mitochondrial inner membrane,0,740,0.5235664,0.07833083,purple,230,0.4356209,0.072299222,grey,16,0.2454595,0.025,grey,6,0.1629145,0.13333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,0.01,-0.25,-0.09,-0.02,-0.15,0.39,-0.13,0.3,0.05,0.23,-0.3,0.1,0.05,-0.11,-0.04,0.05,0.12,0.19,-0.12,-0.38,0,0.09,-0.01,-0.04,-0.06,0.07,-0.69,-0.46,0.45,0.34,0.02,0.04,-0.31,0.24,0.15,0.11,-0.13,-0.25,-0.21,0.3,-0.04,-0.27,0.01
YKL013C,S000001496,ARC19,516,actin cortical patch assembly,structural molecule activity,Arp2/3 protein complex,1,1540,0.5528062,0.11334734,turquoise,688,0.4858462,0.106013676,red,96,0.3138376,0.10877193,grey,32,0.2601612,0.13104839,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,-0.06,0.14,0.19,0.14,-0.15,0.12,-0.15,0.03,-0.04,0.06,-0.01,-0.14,0.08,-0.04,-0.12,-0.08,-0.06,-0.25,-0.59,-0.4,-0.29,0.09,-0.2,-0.14,-0.33,0.22,0.27,0.08,0.16,1.05,0.01,-0.53,-0.31,-0.18,-0.21,-0.42,0.05,-0.05,-0.09,0.06,0.34,0.12,0.17
YKL014C,S000001497,URB1,5295,rRNA processing,NA,nucleolus,1,2174,0.5786427,0.11276725,turquoise,1322,0.5158003,0.104862566,turquoise,400,0.346404,0.097656642,turquoise,208,0.2950392,0.10609439,2,0.15918367,0,grey,NA,NA,NA,NA,0.00E+00,-0.14,0.11,0.15,-0.79,-0.38,-0.11,-0.29,0.1,0.13,0.13,0.22,0.19,0.21,0.05,0.34,0.64,-0.31,0.15,-0.97,0.41,0.19,0.17,0.24,0.38,0.43,0.07,0.02,-0.43,-0.16,-0.17,-1.03,-0.22,-0.39,0.26,0.43,0.54,0.48,0.19,-0.18,0.35,0.11,-0.15,-0.48,0.08
YKL015W,S000001498,PUT3,2940,positive regulation of transcription from Pol II promoter,specific RNA polymerase II transcription factor activity,nucleus,0,104,0.478521,0.06049291,grey,40,0.3525522,0.05,grey,4,0.1250604,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0,-0.04,-0.74,-0.18,-0.04,0.08,-0.01,0.2,0.32,0.16,0.01,0.06,0.05,-0.02,0.26,NA,0.1,-0.72,0.1,-0.33,-0.16,0.06,0.12,-0.06,-0.45,0.3,-0.01,-0.07,0.15,-0.47,2.23,-0.6,0,-0.38,-0.42,-0.06,0.09,-0.06,0.19,-0.32,0.18,-0.4,0.03
YKL020C,S000001503,SPT23,3249,positive regulation of transcription from Pol II promoter,transcriptional activator activity,endoplasmic reticulum membrane,0,336,0.5083259,0.06257996,grey,76,0.3999,0.062105263,grey,6,0.2275269,0.066666667,grey,4,0.1734561,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,-0.03,-0.26,-0.15,-0.07,-0.05,-0.24,-0.05,-0.05,0.21,-0.1,0.92,-0.05,-0.2,0.44,0.45,-0.24,-0.22,-0.15,-0.32,-0.03,-0.39,0.3,-0.01,0.05,-0.19,0.32,0.43,NA,0.15,0.19,-0.05,0.39,0.07,-0.04,-0.07,-0.05,-0.04,-0.05,-0.07,-0.34,0.25,-0.1,-0.08
YKL021C,S000001504,MAK11,1407,ribosomal large subunit biogenesis,NA,membrane fraction,1,1594,0.5550312,0.11527535,turquoise,794,0.4809959,0.106886135,turquoise,80,0.309414,0.097151899,turquoise,18,0.2508967,0.09803922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.22,-0.67,-0.34,-0.17,-0.05,0.11,0.17,0.38,0.08,0.01,0.08,0.3,-0.19,0.13,NA,0.19,-0.15,0.44,0.6,0.27,-0.42,0.06,0.34,0.15,0.16,-0.44,-0.98,0.19,-0.8,0.07,0.09,-0.11,0.46,0.26,-0.01,-0.04,NA,0.23,0.18,-0.49,0.27,-0.11
YKL025C,S000001508,PAN3,2040,DNA repair,poly(A)-specific ribonuclease activity,cytoplasm,0,1346,0.5457895,0.08637792,blue,528,0.4801873,0.077540107,green,28,0.3027669,0.066137566,grey,12,0.2505116,0.04545454,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,0.59,0.09,-0.09,-0.28,0.11,-0.06,0.33,-0.09,0.12,0.09,-0.16,0.04,0.27,0.09,-0.02,0.29,-0.06,-0.4,-0.45,-0.73,-0.43,0.11,0.06,0.02,0.25,0.3,0.15,0.26,0.21,0.27,-0.28,-0.3,0.13,-0.17,-0.52,-0.03,-0.05,0.23,0.17,-0.19,0.28,0.08,0.38
YKL026C,S000001509,GPX1,504,response to oxidative stress,glutathione peroxidase activity,NA,0,2154,0.5776398,0.10099013,turquoise,1138,0.510989,0.094929616,turquoise,252,0.3514458,0.082685132,black,102,0.2993682,0.0990099,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49,0.2,0.01,0.39,0.01,0.12,-0.26,0.34,0.24,-0.15,NA,-0.07,-0.11,-0.05,-0.04,-0.1,0.2,-0.41,1.05,0.37,-0.81,0.19,0.39,-0.43,0.05,-1,0.52,0.37,-0.02,0.16,2.76,0.52,0.42,0.13,-0.38,-1.02,-0.62,-0.46,-0.18,-0.98,-0.16,-0.09,0.06,0
YKL027W,S000001510,NA,1344,NA,NA,mitochondrion,0,934,0.5298092,0.11671727,turquoise,298,0.4329328,0.107224369,grey,26,0.2748729,0.123076923,grey,6,0.2016057,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58,0.46,0.24,-0.02,-0.17,0.21,-0.33,0.37,0.11,0.27,0.23,-0.02,-0.13,0.19,-0.19,-0.1,0.26,0.01,-0.37,0.15,0.07,0.14,0.38,-0.35,0.17,-0.27,0.26,-0.06,-0.77,0.2,-0.69,-0.3,-0.26,0.07,0.23,-0.07,0.12,0.07,0.31,0.37,-0.05,0.23,NA,-0.01
YKL029C,S000001512,MAE1,2010,pyruvate metabolism,malate dehydrogenase (oxaloacetate-decarboxylating) activity,mitochondrion,0,1850,0.5651498,0.11225878,turquoise,860,0.4900135,0.11226954,turquoise,148,0.3375268,0.098547527,grey,44,0.2742718,0.06342495,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,-0.15,-0.08,-0.9,-0.71,0.29,0.02,0.84,0.2,0.51,0.26,0.09,0.18,0.33,0.09,0.18,0.14,-0.21,-0.97,-0.17,0.56,0.38,0.46,0.2,0.12,0.42,-0.46,0.2,-0.13,NA,-1.5,-0.52,-0.68,0.58,0.55,0.08,0.15,-0.24,0.16,0.91,-0.08,0.01,0.03,0.55
YKL030W,NA,NA,NA,NA,NA,NA,0,1604,0.5552624,0.11238435,turquoise,702,0.4846685,0.112785561,turquoise,80,0.3248722,0.110126582,grey,26,0.2554783,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,-0.49,-0.28,-0.8,-0.47,0.22,0.35,0.69,0.38,0.38,0.07,0.2,-0.08,0.15,0.25,-0.01,0.2,-0.36,-1.17,-0.32,0.14,0.16,0.46,-0.31,-0.32,0.27,0.03,0.64,-0.4,NA,-1.04,-0.29,-0.02,0.41,0.65,0.29,0.18,-0.17,-0.07,0.2,0,-0.31,0.03,0.13
YKL031W,NA,NA,NA,NA,NA,NA,0,954,0.5312874,0.09052512,blue,348,0.4494774,0.083391301,blue,28,0.275563,0.126984127,grey,20,0.23504,0.10526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.19,0.14,-0.03,-0.09,-0.1,-0.05,0.19,-0.29,-0.03,0.46,-0.12,-0.03,0.23,-0.2,0.02,0.38,-0.05,1.03,0.36,0.19,0.4,0.3,-0.27,-0.5,0.25,0.02,-1.15,-0.54,-0.18,0.39,-0.39,-0.03,-0.11,0.06,-0.13,0.15,-0.13,-0.01,0.2,0.25,0.1,-0.36,0.01
YKL032C,S000001515,IXR1,1794,DNA repair,DNA binding,nuclear chromosome,0,970,0.5318526,0.07957827,brown,388,0.4690359,0.066544127,yellow,36,0.2883069,0.052380952,grey,6,0.1989571,0.06666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,-0.2,-0.17,-0.36,-0.16,0.35,0.4,0.11,-0.03,-0.11,0,0.28,-0.04,-0.11,0.23,0.23,0.33,-0.36,-1.08,-0.04,0.26,0.49,0.98,0.57,0.33,0.59,-0.18,-0.96,-0.47,-0.11,0.26,0.07,-0.25,-0.32,-0.18,-0.15,0.23,0.05,0.22,0.01,-0.25,0.29,0.15,-0.13
YKL034W,S000001517,TUL1,2277,protein transport,ligase activity,intracellular,0,1150,0.5380062,0.10723881,turquoise,336,0.4512016,0.097583511,turquoise,24,0.2766786,0.047101449,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,-0.34,-0.06,0.26,0,0.26,0.04,0.18,0.07,-0.13,-0.13,0.24,-0.17,-0.32,-0.03,-0.01,0.26,-0.44,0.59,-0.57,-0.6,-0.3,-0.35,0.1,0.28,0.06,0.36,0.12,-0.21,0.13,0.56,0.36,0.05,0.1,0.13,-0.54,-0.06,-0.08,-0.01,-0.19,-0.15,0.11,-0.06,-0.21
YKL035W,S000001518,UGP1,1500,protein amino acid glycosylation,UTP-glucose-1-phosphate uridylyltransferase activity,cytoplasm,1,1286,0.5434162,0.09130837,brown,468,0.4733665,0.080263182,turquoise,22,0.2975437,0.064935065,grey,6,0.2370693,0.06666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51,1.09,-0.65,0.37,0.45,0.24,0.06,0.09,-0.08,-0.01,-0.27,-0.37,-0.39,-0.06,0.22,0.3,-0.28,-0.06,-0.56,-1.4,-0.48,0.01,0.14,0.08,0.27,0.26,0.26,0.42,0.01,0.33,0.51,-0.27,0.02,-0.32,-0.99,-0.74,-0.3,0.14,0.6,0.15,-0.42,0.69,0.69,0.23
YKL036C,NA,NA,NA,NA,NA,NA,1,632,0.5188116,0.09803105,turquoise,144,0.4229508,0.082556333,turquoise,2,0.2435941,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.17,-0.54,0.42,0.43,0.35,0.17,-0.32,0.04,-0.16,-0.47,0.18,-0.47,-0.23,0.42,0.35,-0.12,-0.34,-0.26,-0.86,-0.3,-0.17,0.3,-0.26,-0.05,0.39,0.77,-0.61,-1.35,1.05,0.84,-0.35,-0.1,-0.37,-0.48,-0.46,-0.13,0.43,0.38,-0.12,-0.13,0.26,0.22,0
YKL039W,S000001522,PTM1,1596,NA,NA,NA,0,918,0.5300901,0.08859286,brown,288,0.4495784,0.084930314,blue,20,0.2742277,0.094736842,grey,4,0.206161,0.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.86,-0.07,-0.07,0.34,0.49,0.15,0.05,0.03,-0.03,0.05,0.02,0.16,-0.06,-0.15,-0.19,0.03,-0.47,-0.09,-0.05,-0.69,-1.09,-0.61,-0.01,0.03,0.23,-0.34,0.3,0.53,0.41,0.03,-0.53,0.32,-0.09,0.26,-0.11,-0.17,-0.16,-0.16,0.13,0.07,-0.11,0.22,0.11,0.22
YKL040C,S000001523,NFU1,771,iron ion homeostasis,NA,mitochondrial matrix,0,122,0.4818653,0.07817369,grey,20,0.3609857,0.073684211,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,-0.67,-0.07,0.1,NA,0.11,-0.07,-0.25,0.37,0.27,0,0.4,-0.1,-0.08,0,0.11,-0.1,-0.44,-0.48,-0.31,-0.19,0,0.18,-0.27,-0.04,-0.42,0.38,-0.13,-0.44,0.29,0.58,-0.26,-0.22,0.06,0.1,-0.09,-0.26,0.11,-0.09,-0.02,0.26,0.05,-0.39,0.17
YKL041W,S000001524,VPS24,675,late endosome to vacuole transport,NA,cytoplasm,0,702,0.5216541,0.10388903,turquoise,154,0.4342491,0.114591291,red,2,0.2502072,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,-0.27,-0.14,-0.12,0.33,-0.14,-0.23,-0.23,0.09,0.03,0.2,0.34,0.12,0.1,-0.44,0.24,-0.46,0.25,-0.41,-0.14,-0.45,-0.36,0.27,-0.28,-0.09,-0.12,0.22,0.37,0.05,0.03,0.49,0.38,-0.03,-0.13,-0.11,-0.6,-0.24,-0.22,0.04,-0.09,-0.18,0.19,0.27,0.23
YKL042W,S000001525,SPC42,1092,microtubule nucleation,structural constituent of cytoskeleton,central plaque of spindle pole body,1,1100,0.5364905,0.09408553,yellow,480,0.4605021,0.117249478,brown,116,0.2844801,0.150824588,blue,54,0.231375,0.15793152,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,-0.32,-0.33,0.24,0.18,0.3,-0.12,-0.44,0.19,-0.39,-0.61,0.95,0.24,0.19,0.28,0.36,-0.57,NA,-1.31,-0.3,1,0.38,-0.13,-0.01,-0.7,-0.81,-0.81,0.53,1.1,0.33,-0.29,-0.59,-0.29,-0.13,0.17,0.29,0.12,0.36,0.06,-0.02,0.12,0.2,0.16,-0.15
YKL043W,S000001526,PHD1,1101,pseudohyphal growth,specific RNA polymerase II transcription factor activity,nucleus,0,1386,0.5470588,0.08832732,blue,560,0.4821558,0.080928955,green,76,0.3185296,0.076140351,grey,32,0.2601842,0.06854839,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,0.03,0.05,0.31,-0.04,-0.27,-0.19,-0.5,-0.86,-0.57,0.03,-0.16,0.07,0.01,0.16,0.03,-0.14,-0.06,-0.78,-1.83,-0.66,-0.63,-0.17,-0.28,0.1,0.87,0.52,0.86,0.48,0.04,0.51,0.19,-0.15,0.05,-0.51,-0.29,-0.55,-0.14,0.01,0.06,-0.32,0.24,0.4,0.51
YKL044W,NA,NA,NA,NA,NA,NA,0,486,0.5141425,0.08591065,grey,74,0.4120132,0.078859682,grey,2,0.2150193,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,-0.14,0.2,0.25,0.04,-0.2,-0.18,-0.31,-0.24,-0.4,-0.03,-0.18,0.04,0.09,-0.09,-0.05,-0.33,-0.07,-1.05,-1.05,0.2,-0.11,-0.36,-0.2,0.16,0.8,0.47,-0.18,0.38,0.1,0.79,0.02,0.7,-0.01,-0.42,-0.09,-0.3,-0.13,-0.84,-0.5,-0.04,0.22,0.23,0.36
YKL045W,S000001528,PRI2,1587,DNA replication initiation,alpha DNA polymerase activity,alpha DNA polymerase:primase complex,1,990,0.5316405,0.11652215,yellow,566,0.4587061,0.126207824,brown,208,0.2933269,0.158584169,blue,134,0.2481209,0.1663113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,-0.69,-0.8,0.86,0.84,0.51,0.14,-0.4,-0.64,-0.8,0.41,0.88,0.75,0.46,-0.1,-0.23,-0.42,-1.21,-0.6,0.09,1.29,0.72,-0.23,0.09,-0.2,-0.57,-0.32,-0.14,0.07,0.23,-1.04,-0.7,0.3,0.21,0.09,0.41,NA,0.65,0.1,0.39,-0.02,-0.12,-0.36,0.07
YKL046C,S000001529,DCW1,1350,cell wall biosynthesis (sensu Fungi),NA,membrane fraction,0,166,0.4891743,0.07331143,grey,24,0.351005,0.054347826,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,-0.62,-0.12,0.03,0.43,0.25,0.19,0.09,0.03,-0.08,-0.26,-0.02,-0.08,0.16,0.02,-0.03,-0.31,-0.26,0.07,-0.4,0.49,0.13,-0.86,-0.24,0,-0.03,0.12,0.33,-0.82,0.39,0.55,-0.04,0.02,-0.26,-0.14,0.09,-0.04,0.02,-0.62,0.15,0.04,0.07,0.05,0.11
YKL047W,S000001530,NA,1551,NA,NA,cytoplasm,0,1052,0.5344828,0.07769895,red,474,0.4736468,0.06280051,tomato,108,0.2978863,0.061959155,grey,54,0.2435951,0.0580014,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,0.14,-0.07,-0.2,-0.06,0.01,0.12,0.15,-0.02,0.07,0.1,-0.11,-0.09,0.1,0.13,-0.06,0.42,-0.11,-0.06,0.31,0.03,-0.04,0.44,0.23,0.49,0.8,0.42,-3.35,NA,-0.01,-0.19,0.16,0.09,-0.1,0.33,-0.09,0.19,0,0.04,-0.14,0.26,-0.12,-0.23,-0.21
YKL048C,S000001531,ELM1,1923,protein amino acid phosphorylation,protein serine/threonine kinase activity,contractile ring (sensu Saccharomyces),0,828,0.5267387,0.09055488,blue,342,0.4582856,0.090223114,yellow,54,0.2843684,0.106219427,grey,18,0.2271884,0.1503268,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,-0.4,-0.02,-0.17,-0.21,0.38,0.38,0.32,-0.14,-0.04,-0.06,0.35,-0.28,-0.12,0.19,0.29,0.16,-0.24,-0.33,-0.79,-0.57,0.13,0.37,0.54,0.37,-0.13,-0.02,-0.73,-0.43,0.53,-0.19,-0.37,-0.17,-0.24,0.25,-0.27,-0.08,0.16,0.42,0.18,0.27,0.18,0.01,-0.15
YKL049C,S000001532,CSE4,690,mitotic sister chromatid segregation,centromeric DNA binding,condensed nuclear chromosome pericentric region,1,1056,0.5348402,0.07916128,black,442,0.4719141,0.066754907,yellow,52,0.2838558,0.078431373,yellow,18,0.2358135,0.09150327,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,-0.1,-0.23,-0.04,0.21,0.16,0.41,0.09,0.1,-0.25,0,-0.38,0.02,0.05,-0.04,-0.08,0.4,-0.14,-0.67,-0.7,0.19,0.35,0.55,0.28,0.07,-0.06,-0.3,-0.25,-0.09,0.26,0.08,-0.22,-0.04,-0.05,0.4,0.04,0.31,-0.01,0.05,-0.12,0.07,-0.17,-0.26,-0.09
YKL050C,S000001533,NA,2769,NA,NA,NA,0,164,0.4933383,0.06052671,grey,22,0.3479812,0.056277056,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,-0.12,-0.2,0.08,-0.14,0.38,0.24,0.26,-0.17,-0.24,-0.11,0.91,-0.22,-0.47,0.19,0.09,0.04,-0.02,0.36,-1.07,0.49,0.16,0.49,-0.11,-0.14,0.04,0.22,-0.35,-0.26,0.49,-0.02,-0.04,0,0.1,0.08,-0.31,-0.15,-0.04,0.16,-0.06,-0.24,0.21,0.12,0.19
YKL051W,S000001534,SFK1,1062,actin cytoskeleton organization and biogenesis,NA,plasma membrane,0,402,0.510402,0.06899418,brown,82,0.4067331,0.064438422,grey,4,0.2190373,0.166666667,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74,0.03,0.67,0.33,-0.17,0.15,-0.21,0.33,-0.19,-0.09,0.06,-0.37,-0.49,-0.06,-0.27,-0.31,0.17,-0.17,0.11,-0.2,-0.28,-0.1,-0.29,-0.25,-0.08,-0.04,0.14,-0.2,0.04,0.19,-0.27,-0.23,-0.54,0.15,-0.06,-0.29,0.01,0.03,0.22,0.41,-0.08,0.28,0.07,0.31
YKL052C,S000001535,ASK1,879,mitotic spindle assembly (sensu Fungi),structural constituent of cytoskeleton,condensed nuclear chromosome kinetochore,1,822,0.5265306,0.0933376,black,310,0.4527853,0.088485228,yellow,26,0.2685947,0.141538462,grey,16,0.22675,0.14166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.29,0.01,0.03,-0.31,0.77,0.54,0.44,-0.1,0.08,-0.04,0.07,-0.49,-0.25,0.07,-0.1,0.33,-0.62,-0.6,-0.55,0.01,0.61,0.77,0.6,0.42,0.12,0.05,-0.76,-0.26,0.05,-0.38,-0.06,-0.24,-0.12,0.16,-0.16,0.13,0.27,0.35,-0.02,0.02,0.07,0.04,-0.06
YKL053W,NA,NA,NA,NA,NA,NA,0,552,0.5164665,0.09213814,black,140,0.4223255,0.096916752,yellow,8,0.2529153,0.071428571,grey,2,0.1342288,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36,0.21,0.07,-0.21,-0.07,0.03,0.41,0.37,0.16,-0.05,-0.02,-0.52,-0.09,-0.02,0.03,-0.1,0.46,-0.25,-0.62,-0.37,0.21,0.68,0.52,0.12,0.03,-0.41,-0.03,-0.22,-0.27,0.18,-0.04,-0.22,-0.61,-0.1,0.16,0.13,0.13,0.19,0.08,-0.15,0.27,0.11,-0.01,0.07
YKL056C,S000001539,NA,504,NA,NA,cytoplasm,0,1216,0.5402594,0.10838613,turquoise,584,0.4730305,0.119592801,turquoise,224,0.3090444,0.133488149,brown,160,0.263545,0.1202044,10,0.31355932,0.04444444,grey,NA,NA,NA,NA,6.88E+01,-0.89,-0.12,0.13,-0.1,-0.09,0.05,-0.1,0.26,-0.03,0.05,-0.09,-0.06,-0.38,0.14,0.35,-0.29,0.63,-0.18,-0.46,-0.32,0.11,-0.14,0.23,-0.62,-0.67,0.02,-0.22,1.45,0.05,-0.3,-0.78,-0.33,-0.25,-0.08,0.33,0.49,0.2,0.52,0.17,0.29,-0.01,-0.05,-0.28,-0.23
YKL059C,S000001542,MPE1,1326,mRNA polyadenylylation,NA,mRNA cleavage and polyadenylation specificity factor complex,1,340,0.5056265,0.09937533,yellow,36,0.3721038,0.085714286,grey,2,0.2130839,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56,-0.07,-0.29,-0.29,-0.14,0.05,0.3,0.02,0.2,0.03,0.37,0.05,0.02,-0.12,-0.27,0.33,0,-0.02,0.42,-0.43,-0.46,0.09,-0.84,0.36,0.42,0.3,-0.13,-0.38,0.04,0.08,0.11,0.37,0.14,0.07,-0.3,-0.1,-0.29,0.14,0.14,-0.03,-0.24,-0.15,-0.05,0.18
YKL060C,S000001543,FBA1,1080,gluconeogenesis,fructose-bisphosphate aldolase activity,cytoplasm,1,650,0.5194856,0.10445419,red,300,0.4302776,0.114158305,tomato,36,0.2696144,0.114285714,grey,16,0.2223904,0.10833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.04,0,-0.2,0.16,-0.13,0.25,-0.03,0.15,0.05,-0.04,0.05,-0.18,-0.07,0.07,0.12,-0.1,-0.01,-0.1,-0.58,0.33,-0.03,-0.15,-0.35,-0.21,-0.26,-0.53,1.52,0.05,-0.35,-0.12,-0.2,0.52,0.65,0.24,0.03,-0.04,0.04,NA,-0.25,-0.66,-0.19,0.11,-0.13
YKL061W,S000001544,NA,342,NA,NA,endosome,0,474,0.5136802,0.07082898,pink,124,0.4107436,0.060713349,grey,4,0.2052822,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25,-0.2,-0.31,0.11,0.3,-0.41,0.53,-0.2,0.14,-0.38,0.22,-0.29,0.05,-0.07,-0.12,0.24,0.3,-0.26,-0.66,-0.52,-0.21,0.1,0.44,-0.24,0.3,-0.11,0.07,0.3,-0.25,0.01,0.65,-0.16,0.18,0.35,0.4,0.18,0.12,-0.18,-0.37,-0.23,0.11,-0.53,-0.37,-0.16
